Classifier,Study,Accuracy,Precision,Sensitivity,F-score,AUC
J48 Decision Tree,Source 2 — All 8 features (Table 13),0.7174,0.5806,0.5806,0.5806,0.71
J48 Decision Tree,Source 2 — 5-factor subset (Table 15),0.7174,0.6129,0.6129,0.6129,0.73
J48 Decision Tree,This Study — GA (7 features),0.7043,0.5696,0.5696,0.5696,0.6722
J48 Decision Tree,This Study — All 8 features,0.713,0.5802,0.5949,0.5875,0.6849
Random Forest,Source 2 — All 8 features (Table 13),0.7826,0.7097,0.7097,0.7097,0.85
Random Forest,Source 2 — 5-factor subset (Table 15),0.8043,0.7419,0.7419,0.7419,0.87
Random Forest,This Study — GA (7 features),0.8087,0.7536,0.6582,0.7027,0.8386
Random Forest,This Study — All 8 features,0.7957,0.7424,0.6203,0.6759,0.8595
Naïve Bayes,Source 2 — All 8 features (Table 13),0.7609,0.6552,0.6552,0.6552,0.82
Naïve Bayes,Source 2 — 5-factor subset (Table 15),0.7826,0.6667,0.7419,0.7027,0.84
Naïve Bayes,This Study — GA (7 features),0.7609,0.6765,0.5823,0.6259,0.8385
Naïve Bayes,This Study — All 8 features,0.787,0.7143,0.6329,0.6711,0.846
